¿Cuál de estos animales no es un reptil?;Salamandra;Gecko;Iguana;Varano
¿Cuál de estos animales es un marsupial?;Zarigüeya;Mapache;Lemur;Pangolín
¿Cuál de estos animales presenta un mayor riesgo de extinción?;Ajolote;Capibara;Panda;Koala
¿Qué son en realidad los corales?;Animales;Plantas;Hongos;Protozoos
¿Cuál fue el primer animal domesticado por el hombre?;Perro;Cabra;Oveja;Cerdo
¿Cuál de estos animales pone los huevos más grandes?;Avestruz;Pato;Ganso;Pavo
¿En qué época del año pierden los árboles sus hojas si estas son cadúcas?;Otoño;Primavera;Verano;Invierno
¿Qué animal está más emparentado con el Tiranosaurus Rex?;Gallina;Cocodrilo;Avestruz;Rana
¿En que época del año florecen los cerezos?;Primavera;Verano;Otoño;Invierno
¿Cual de estas plantas pertenece a la misma famila que las calabazas?;Pepino;Berenjena;Coliflor;Tomate
¿Cuál de estos animales no es un reptil?;Respuesta incorrecta 1 del 10;Respuesta incorrecta 2 del 10;Respuesta incorrecta 3 del 10;Respuesta correcta prueba 10
¿Cuál de estos animales no es un reptil?;Respuesta incorrecta 1 del 11;Respuesta incorrecta 2 del 11;Respuesta incorrecta 3 del 11;Respuesta correcta prueba 11
¿Cuál de estos animales no es un reptil?;Respuesta incorrecta 1 del 12;Respuesta incorrecta 2 del 12;Respuesta incorrecta 3 del 12;Respuesta correcta prueba 12
¿Cuál de estos animales no es un reptil?;Respuesta incorrecta 1 del 13;Respuesta incorrecta 2 del 13;Respuesta incorrecta 3 del 13;Respuesta correcta prueba 13
